Código Localidade;Logradouro;Bairro;Município;UF
04880230;ALAMEDA DAS ANDORINHAS CONDOMINIO ARUA ACAMPAR;RECANTO CAMPO BELO;SAO PAULO;SP
45604620;RUA DO CRUZEIRO;JOAO SOARES;ITABUNA;BA
03263010;RUA VITOR DE QUEIROZ MATOS;PARQUE SAO LUCAS;SAO PAULO;SP
36660000;RUA ANTONIO GALDINO MARCA;VILA CAXIAS;ALEM PARAIBA;MG
40070045;RUA PORTAO DA PIEDADE;BARRIS;SALVADOR;BA
05114001;AVENIDA CANDIDO PORTINARI;VILA JAGUARA;SAO PAULO;SP
83323060;RUA 24 DE MAIO;VILA TARUMA;PINHAIS;PR
75020040;RUA DESEMBARGADOR JAIME;SETOR CENTRAL;ANAPOLIS;GO
19700000;RUA VAIL JUSTINIANO TOLEDO;JARDIM MURILO MACEDO;PARAGUACU PAULISTA;SP
77930000;RUA PARAENSE;CENTRO;AXIXA DO TOCANTINS;TO
75074590;AVENIDA ESTADO;RECANTO DO SOL;ANAPOLIS;GO
13290000;RUA ANTONIO CHICALHONE;JARDIM LAGO AZUL SANTO ANTONIO;LOUVEIRA;SP
21031590;RUA AMANARU;RAMOS;RIO DE JANEIRO;RJ
89135000;ESTRADA VARGEM GRANDE;VARGEM GRANDE;APIUNA;SC
88054040;RUA RODOLFO HICKEL;CANASVIEIRAS;FLORIANOPOLIS;SC
89108000;RUA HARROLD LAFFIN;GUARANI MIRIM;MASSARANDUBA;SC
13068601;RUA BATISTA RAFFI;JARDIM APARECIDA;CAMPINAS;SP
30720460;AVENIDA DOM PEDRO II;CAICARAS;BELO HORIZONTE;MG
05314000;AVENIDA DOUTOR GASTAO VIDIGAL CEAGESP;VILA LEOPOLDINA;SAO PAULO;SP
31230000;PRACA RAMATIS;PARQUE RIACHUELO;BELO HORIZONTE;MG
97035090;RUA ANTONIO SANGOI NETO;JUSCELINO KUBITSCHEK;SANTA MARIA;RS
63190000;RUA DO COMERCIO;ARAPORANGA;SANTANA DO CARIRI;CE
89300000;LOCALIDADE BELA VISTA DO SUL;BELA VISTA SUL;MAFRA;SC
55602005;RUA JOAO SABINO ANDRADE;MATRIZ;VITORIA DE SANTO ANTAO;PE
04546004;RUA CASA DO ATOR;VILA OLIMPIA;SAO PAULO;SP
38400706;AVENIDA AFONSO PENA;APARECIDA;UBERLANDIA;MG
06080010;AVENIDA LUCIANINHO MELLI;VILA NOVA OSASCO;OSASCO;SP
15220000;RUA ANGELO PETRONINI;CENTRO;MENDONCA;SP
97970000;RUA MAJOR ANTONIO T CARDOSO;CENTRO;ROQUE GONZALES;RS
89211595;RUA PRINCESA ISABEL;CENTRO;JOINVILLE;SC
94090120;ESTRADA GERAL DO MORRO AGUDO;ITACOLOMI;GRAVATAI;RS
01539010;RUA GAMA CERQUEIRA;CAMBUCI;SAO PAULO;SP
36700000;RUA POMPILHO GUIMARAES;FABRICA;LEOPOLDINA;MG
89638000;LOCALIDADE VILA FATIMA;INTERIOR;VARGEM;SC
29050565;RUA PROFESSOR ALMEIDA COUSIN;ENSEADA DO SUA;VITORIA;ES
22743380;RUA MARECHAL SEREJO;FREGUESIA JACAREPAGUA;RIO DE JANEIRO;RJ
85892000;LOCALIDADE DE LINHA PROGRESSO;CENTRO;SANTA HELENA;PR
24716072;RUA MIGUEL GLINKA;JARDIM CATARINA;SAO GONCALO;RJ
15530000;VIA DE COSMORAMA A AMERICO DE CAMPOS;ZONA RURAL;COSMORAMA;SP
13560160;RUA JOSE BONIFACIO;CENTRO;SAO CARLOS;SP
35900202;RUA JOSE HILARIO;VILA PIEDADE;ITABIRA;MG
09726000;AVENIDA BARAO DE MAUA;CHACARA INGLESA;SAO BERNARDO DO CAMPO;SP
05423000;AVENIDA EUSEBIO MATOSO;PINHEIROS;SAO PAULO;SP
59507000;RUA ANGELO VARELA;CENTRO;ALTO DO RODRIGUES;RN
06415150;RUA CARLOS LACERDA;VILA ENGENHO NOVO;BARUERI;SP
48370000;RUA JOSE ALVES DOS SANTOS FILHO;CENTRO;ESPLANADA;BA
77890000;RUA OLAVO BILAC;CENTRO;ANANAS;TO
06550000;RUA EGEO BENTO FRATICCELI;JARDIM BOM JESUS;PIRAPORA DO BOM JESUS;SP
13083590;RUA ROXO MOREIRA;CIDADE UNIVERSITARIA;CAMPINAS;SP
