Código Ramo de Atividade;Ordem Ramo de Atividade;Código Ramo de Atividade - Nível 1;Código Ramo de Atividade - Nível 2;Código Ramo de Atividade - Nível 3;Código Ramo de Atividade - Nível 4;Código Ramo de Atividade - Nível 5;Ramo de Atividade - Nível 1;Ramo de Atividade - Nível 2;Ramo de Atividade - Nível 3;Ramo de Atividade - Nível 4;Ramo de Atividade - Nível 5;Ramo de Atividade;Divisão
2870;0;1099699;1099699;1099699;1099699;1099699;FABRICACAO DE OUTROS PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE;FABRICACAO DE OUTROS PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE;FABRICACAO DE OUTROS PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE;FABRICACAO DE OUTROS PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE;FABRICACAO DE OUTROS PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE;BENS DE CONSUMO;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
821;3;4619200;6462000;7319003;7490104;7490104;ATIVIDADES DE INTERMEDIACAO E AGENCIAMENTO DE SERVICOS E NEGOCIOS EM GERAL, EXCETO IMOBILIARIOS;HOLDINGS DE INSTITUICOES NAOFINANCEIRAS;MARKETING DIRETO;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MERCADORIAS EM GERAL NAO ESPECIALIZADO;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MERCADORIAS EM GERAL NAO ESPECIALIZADO;ATACADO;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
354;4;1091101;3299099;4520005;5590699;9601701;FABRICACAO DE PRODUTOS DE PANIFICACAO INDUSTRIAL;FABRICACAO DE PRODUTOS DIVERSOS NAO ESPECIFICADOS ANTERIORMENTE;LAVANDERIAS;OUTROS ALOJAMENTOS NAO ESPECIFICADOS ANTERIORMENTE;SERVICOS DE LAVAGEM, LUBRIFICACAO E POLIMENTO DE VEICULOS AUTOMOTORES;BENS DE CONSUMO;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
210;1;1091101;4399103;4399103;4399103;4399103;FABRICACAO DE PRODUTOS DE PANIFICACAO INDUSTRIAL;OBRAS DE ALVENARIA;OBRAS DE ALVENARIA;OBRAS DE ALVENARIA;OBRAS DE ALVENARIA;BENS DE CONSUMO;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
72;1;1066000;4771704;4771704;4771704;4771704;COMERCIO VAREJISTA DE MEDICAMENTOS VETERINARIOS;FABRICACAO DE ALIMENTOS PARA ANIMAIS;FABRICACAO DE ALIMENTOS PARA ANIMAIS;FABRICACAO DE ALIMENTOS PARA ANIMAIS;FABRICACAO DE ALIMENTOS PARA ANIMAIS;BENS DE CONSUMO;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
110;1;1020101;4634603;4634603;4634603;4634603;COMERCIO ATACADISTA DE PESCADOS E FRUTOS DO MAR;PRESERVACAO DE PEIXES, CRUSTACEOS E MOLUSCOS;PRESERVACAO DE PEIXES, CRUSTACEOS E MOLUSCOS;PRESERVACAO DE PEIXES, CRUSTACEOS E MOLUSCOS;PRESERVACAO DE PEIXES, CRUSTACEOS E MOLUSCOS;BENS DE CONSUMO;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
1104;4;4683400;4744001;4744099;4771704;4789004;COMERCIO ATACADISTA DE DEFENSIVOS AGRICOLAS, ADUBOS, FERTILIZANTES E CORRETIVOS DO SOLO;COMERCIO VAREJISTA DE ANIMAIS VIVOS E DE ARTIGOS E ALIMENTOS PARA ANIMAIS DE ESTIMACAO;COMERCIO VAREJISTA DE FERRAGENS E FERRAMENTAS;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;COMERCIO VAREJISTA DE MEDICAMENTOS VETERINARIOS;ATACADO;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
347;4;1031700;1032599;1094500;4721103;4724500;COMERCIO VAREJISTA DE HORTIFRUTIGRANJEIROS;COMERCIO VAREJISTA DE LATICINIOS E FRIOS;FABRICACAO DE CONSERVAS DE FRUTAS;FABRICACAO DE CONSERVAS DE LEGUMES E OUTROS VEGETAIS, EXCETO PALMITO;FABRICACAO DE MASSAS ALIMENTICIAS;BENS DE CONSUMO;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
822;2;5812301;5813100;5911199;5911199;5911199;ATIVIDADES DE PRODUCAO CINEMATOGRAFICA, DE VIDEOS E DE PROGRAMAS DE TELEVISAO NAO ESPECIFICADAS ANTERIORMENTE;EDICAO DE JORNAIS DIARIOS;EDICAO DE REVISTAS;EDICAO DE REVISTAS;EDICAO DE REVISTAS;TELECOM;EDIÇÃO E EDIÇÃO INTEGRADA À IMPRESSÃO
1800;4;1093701;4712100;4744001;4763603;4763604;COMERCIO VAREJISTA DE ARTIGOS DE CACA, PESCA E CAMPING;COMERCIO VAREJISTA DE BICICLETAS E TRICICLOS, PECAS E ACESSORIOS;COMERCIO VAREJISTA DE FERRAGENS E FERRAMENTAS;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS;FABRICACAO DE PRODUTOS DERIVADOS DO CACAU E DE CHOCOLATES;BENS DE CONSUMO;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
2475;3;1053800;4721104;4723700;8299707;8299707;COMERCIO VAREJISTA DE BEBIDAS;COMERCIO VAREJISTA DE DOCES, BALAS, BOMBONS E SEMELHANTES;FABRICACAO DE SORVETES E OUTROS GELADOS COMESTIVEIS;SALAS DE ACESSO A INTERNET;SALAS DE ACESSO A INTERNET;BENS DE CONSUMO;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
1802;0;1064300;1064300;1064300;1064300;1064300;FABRICACAO DE FARINHA DE MILHO E DERIVADOS, EXCETO OLEOS DE MILHO;FABRICACAO DE FARINHA DE MILHO E DERIVADOS, EXCETO OLEOS DE MILHO;FABRICACAO DE FARINHA DE MILHO E DERIVADOS, EXCETO OLEOS DE MILHO;FABRICACAO DE FARINHA DE MILHO E DERIVADOS, EXCETO OLEOS DE MILHO;FABRICACAO DE FARINHA DE MILHO E DERIVADOS, EXCETO OLEOS DE MILHO;BENS DE CONSUMO;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
929;3;1091102;4721102;5611201;5611203;5611203;FABRICACAO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINANCIA DE PRODUCAO PROPRIA;LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES;PADARIA E CONFEITARIA COM PREDOMINANCIA DE REVENDA;RESTAURANTES E SIMILARES;RESTAURANTES E SIMILARES;BENS DE CONSUMO;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
1523;4;1091101;1093701;4721102;5611203;5620104;FABRICACAO DE PRODUTOS DE PANIFICACAO INDUSTRIAL;FABRICACAO DE PRODUTOS DERIVADOS DO CACAU E DE CHOCOLATES;FORNECIMENTO DE ALIMENTOS PREPARADOS PREPONDERANTEMENTE PARA CONSUMO DOMICILIAR;LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES;PADARIA E CONFEITARIA COM PREDOMINANCIA DE REVENDA;BENS DE CONSUMO;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
112;3;1091102;3299099;5620104;8230001;8230001;FABRICACAO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINANCIA DE PRODUCAO PROPRIA;FABRICACAO DE PRODUTOS DIVERSOS NAO ESPECIFICADOS ANTERIORMENTE;FORNECIMENTO DE ALIMENTOS PREPARADOS PREPONDERANTEMENTE PARA CONSUMO DOMICILIAR;SERVICOS DE ORGANIZACAO DE FEIRAS, CONGRESSOS, EXPOSICOES E FESTAS;SERVICOS DE ORGANIZACAO DE FEIRAS, CONGRESSOS, EXPOSICOES E FESTAS;BENS DE CONSUMO;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
1496;4;1091102;4712100;4713002;4722901;4724500;COMERCIO VAREJISTA DE CARNES  ACOUGUES;COMERCIO VAREJISTA DE HORTIFRUTIGRANJEIROS;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS;FABRICACAO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINANCIA DE PRODUCAO PROPRIA;LOJAS DE VARIEDADES, EXCETO LOJAS DE DEPARTAMENTOS OU MAGAZINES;BENS DE CONSUMO;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
2131;4;1091101;1412602;2599301;4399103;4721102;CONFECCAO, SOB MEDIDA, DE PECAS DO VESTUARIO, EXCETO ROUPAS INTIMAS;FABRICACAO DE PRODUTOS DE PANIFICACAO INDUSTRIAL;OBRAS DE ALVENARIA;PADARIA E CONFEITARIA COM PREDOMINANCIA DE REVENDA;SERVICOS DE CONFECCAO DE ARMACOES METALICAS PARA A CONSTRUCAO;BENS DE CONSUMO;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
1522;4;1031700;4712100;4721103;4721104;4724500;COMERCIO VAREJISTA DE DOCES, BALAS, BOMBONS E SEMELHANTES;COMERCIO VAREJISTA DE HORTIFRUTIGRANJEIROS;COMERCIO VAREJISTA DE LATICINIOS E FRIOS;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS;FABRICACAO DE CONSERVAS DE FRUTAS;BENS DE CONSUMO;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
2850;4;1091102;4712100;4721103;5611201;5611203;COMERCIO VAREJISTA DE LATICINIOS E FRIOS;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS;FABRICACAO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINANCIA DE PRODUCAO PROPRIA;LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES;RESTAURANTES E SIMILARES;BENS DE CONSUMO;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
820;4;0119906;0119999;0121101;0151201;0151202;CRIACAO DE BOVINOS PARA CORTE;CRIACAO DE BOVINOS PARA LEITE;CULTIVO DE MANDIOCA;CULTIVO DE OUTRAS PLANTAS DE LAVOURA TEMPORARIA NAO ESPECIFICADAS ANTERIORMENTE;HORTICULTURA, EXCETO MORANGO;PRODUTOS DE AGROPECUÁRIA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
2797;4;1020102;4634603;4637199;4639701;4729699;COMERCIO ATACADISTA DE PESCADOS E FRUTOS DO MAR;COMERCIO ATACADISTA DE PRODUTOS ALIMENTICIOS EM GERAL;COMERCIO ATACADISTA ESPECIALIZADO EM OUTROS PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE;COMERCIO VAREJISTA DE PRODUTOS ALIMENTICIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE;FABRICACAO DE CONSERVAS DE PEIXES, CRUSTACEOS E MOLUSCOS;BENS DE CONSUMO;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
1352;1;1091102;4721102;4721102;4721102;4721102;FABRICACAO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINANCIA DE PRODUCAO PROPRIA;PADARIA E CONFEITARIA COM PREDOMINANCIA DE REVENDA;PADARIA E CONFEITARIA COM PREDOMINANCIA DE REVENDA;PADARIA E CONFEITARIA COM PREDOMINANCIA DE REVENDA;PADARIA E CONFEITARIA COM PREDOMINANCIA DE REVENDA;BENS DE CONSUMO;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
2637;2;1091102;4721103;4721104;4721104;4721104;COMERCIO VAREJISTA DE DOCES, BALAS, BOMBONS E SEMELHANTES;COMERCIO VAREJISTA DE LATICINIOS E FRIOS;FABRICACAO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINANCIA DE PRODUCAO PROPRIA;FABRICACAO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINANCIA DE PRODUCAO PROPRIA;FABRICACAO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINANCIA DE PRODUCAO PROPRIA;BENS DE CONSUMO;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
1101;0;1359600;1359600;1359600;1359600;1359600;FABRICACAO DE OUTROS PRODUTOS TEXTEIS NAO ESPECIFICADOS ANTERIORMENTE;FABRICACAO DE OUTROS PRODUTOS TEXTEIS NAO ESPECIFICADOS ANTERIORMENTE;FABRICACAO DE OUTROS PRODUTOS TEXTEIS NAO ESPECIFICADOS ANTERIORMENTE;FABRICACAO DE OUTROS PRODUTOS TEXTEIS NAO ESPECIFICADOS ANTERIORMENTE;FABRICACAO DE OUTROS PRODUTOS TEXTEIS NAO ESPECIFICADOS ANTERIORMENTE;TÊXTEIS;FABRICAÇÃO DE PRODUTOS TÊXTEIS
758;3;2539001;2543800;2840200;4663000;4663000;COMERCIO ATACADISTA DE MAQUINAS E EQUIPAMENTOS PARA USO INDUSTRIAL, PARTES E PECAS;FABRICACAO DE FERRAMENTAS;FABRICACAO DE MAQUINASFERRAMENTA, PECAS E ACESSORIOS;SERVICOS DE USINAGEM, TORNEARIA E SOLDA;SERVICOS DE USINAGEM, TORNEARIA E SOLDA;SIDERÚRGICA-METALURGIA;FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS E EQUIPAMENTOS
3060;4;1032599;1094500;1340599;3299099;8599699;FABRICACAO DE CONSERVAS DE LEGUMES E OUTROS VEGETAIS, EXCETO PALMITO;FABRICACAO DE MASSAS ALIMENTICIAS;FABRICACAO DE PRODUTOS DIVERSOS NAO ESPECIFICADOS ANTERIORMENTE;OUTRAS ATIVIDADES DE ENSINO NAO ESPECIFICADAS ANTERIORMENTE;OUTROS SERVICOS DE ACABAMENTO EM FIOS, TECIDOS, ARTEFATOS TEXTEIS E PECAS DO VESTUARIO;BENS DE CONSUMO;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
792;2;2950600;4520001;4520002;4520002;4520002;RECONDICIONAMENTO E RECUPERACAO DE MOTORES PARA VEICULOS AUTOMOTORES;SERVICOS DE LANTERNAGEM OU FUNILARIA E PINTURA DE VEICULOS AUTOMOTORES;SERVICOS DE MANUTENCAO E REPARACAO MECANICA DE VEICULOS AUTOMOTORES;SERVICOS DE MANUTENCAO E REPARACAO MECANICA DE VEICULOS AUTOMOTORES;SERVICOS DE MANUTENCAO E REPARACAO MECANICA DE VEICULOS AUTOMOTORES;INDÚSTRIA AUTOMOTIVA;FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS
