CNPJ;Código Localidade;Código Ramo de Atividade;Código Natureza Jurídica;Latitude;Longitude;Qtd. Veículos ANTT;Qtd. Veículos Leves;Qtd. Veículos Pesados;Qtd. Total Veículos;Qtd. Filiais;Optante SIMEI;Optante Simples;Saúde Tributária;Nível Atividade;Faixa Veículos;Possui Veículos ANTT
12305448000100;04880230;1;2135;-23,5505199;-46,6333094;0;0;0;0;0;S;S;VERDE;MEDIA;0 a 5;NAO
14180365000150;45604620;2;2062;-14,7809311;-39,2636;0;0;0;0;0;N;N;AMARELO;MEDIA;0 a 5;NAO
01144533000100;03263010;0;2062;-23,5907593;-46,5486725;0;0;0;0;0;N;N;CINZA;INATIVA;0 a 5;NAO
01911869000150;36660000;0;2135;-21,8833835;-42,6985095;0;0;0;0;0;N;N;CINZA;INATIVA;0 a 5;NAO
00243955000170;40070045;0;2062;-12,9830488;-38,5136913;0;0;0;0;0;N;N;CINZA;INATIVA;0 a 5;NAO
00890690000100;05114001;0;2135;-23,5072955;-46,7555407;0;0;0;0;0;N;N;CINZA;INATIVA;0 a 5;NAO
00887641000100;83323060;0;2062;-25,4387247;-49,1949172;0;0;0;0;0;N;N;CINZA;INATIVA;0 a 5;NAO
00092783000180;75020040;0;2062;-16,3273047;-48,9533426;0;0;0;0;0;N;N;CINZA;INATIVA;0 a 5;NAO
09320876000190;19700000;0;2135;-22,432076;-50,5803154;0;0;0;0;0;N;N;CINZA;INATIVA;0 a 5;NAO
01846005000100;77930000;0;2135;-5,6149591;-47,7708204;0;0;0;0;0;N;N;CINZA;INATIVA;0 a 5;NAO
05610297000120;75074590;3;2062;-16,2806113;-48,9319839;0;0;0;0;0;N;N;CINZA;INATIVA;0 a 5;NAO
15044857000180;13290000;4;2135;-23,0864185;-46,9770708;0;0;0;0;0;S;S;AMARELO;MEDIA;0 a 5;NAO
15028623000140;21031590;5;2135;-22,8492135;-43,2540858;0;0;0;0;0;S;S;AMARELO;MEDIA;0 a 5;NAO
07297742000170;89135000;6;2135;-27,0337085;-49,3872519;0;1;0;1;0;N;S;AZUL;BAIXA;0 a 5;NAO
15291845000150;29146200;7;2062;-20,3433882;-40,3875092;0;0;0;0;0;N;S;AZUL;ALTA;0 a 5;NAO
15090404000190;89108000;8;2062;-26,6109126;-49,0091505;0;0;0;0;0;N;S;VERDE;ALTA;0 a 5;NAO
90400888251650;13068601;9;2046;-22,8525901;-47,1565107;0;0;0;0;0;N;N;VERDE;MEDIA;0 a 5;NAO
12254288000100;30720460;10;2062;-19,9120148;-43,9711978;0;0;0;0;0;N;N;LARANJA;MEDIA;0 a 5;NAO
04226709000160;05314000;11;2062;-23,5505199;-46,6333094;0;0;0;0;0;N;N;AZUL;MEDIA;0 a 5;NAO
16679748000100;31230000;12;3999;-19,8909944;-43,9523488;0;0;0;0;10;N;N;VERDE;ALTA;0 a 5;NAO
07793444000170;97035090;13;2062;-29,6963563;-53,844565;0;0;0;0;0;N;N;AMARELO;MEDIA;0 a 5;NAO
03220549000180;63190000;14;2135;-7,1882638;-39,7376748;0;0;0;0;0;N;S;VERDE;ALTA;0 a 5;NAO
01687525000100;89300000;15;3999;-26,1117326;-49,8065079;0;0;0;0;0;N;N;AZUL;MEDIA;0 a 5;NAO
11772974000100;55602005;16;2135;-8,1138885;-35,2915134;0;0;0;0;0;N;S;AZUL;ALTA;0 a 5;NAO
05850538000290;04546004;17;2062;-23,6001428;-46,6763564;0;0;0;0;0;N;N;VERMELHO;BAIXA;0 a 5;NAO
86396371000150;38400706;18;2062;-18,908382;-48,270572;0;0;0;0;1;N;S;VERDE;ALTA;0 a 5;NAO
52792652000100;06080010;19;2062;-23,541913;-46,7788579;0;0;0;0;0;N;N;AMARELO;MEDIA;0 a 5;NAO
15818386000110;15220000;20;3999;-21,1900316;-49,580999;0;0;0;0;0;N;N;CINZA;INATIVA;0 a 5;NAO
01498181000190;97970000;21;2062;-28,1322847;-55,0223579;0;2;0;2;0;N;S;VERDE;ALTA;0 a 5;NAO
80495856000700;89211595;22;2062;-26,2993337;-48,844535;0;0;0;0;0;N;N;VERMELHO;BAIXA;0 a 5;NAO
02186486000120;94090120;23;2135;-29,8744377;-50,9984135;0;0;0;0;0;N;S;LARANJA;BAIXA;0 a 5;NAO
65070146000230;01539010;24;2062;-23,5702953;-46,6197298;0;0;0;0;0;N;N;AMARELO;MEDIA;0 a 5;NAO
